Ticker,Industry
ACN,Information Technology
ATVI,Information Technology
ADBE,Information Technology
AMD,Information Technology
AKAM,Information Technology
ADS,Information Technology
GOOGL,Information Technology
GOOG,Information Technology
APH,Information Technology
ADI,Information Technology
ANSS,Information Technology
AAPL,Information Technology
AMAT,Information Technology
ADSK,Information Technology
ADP,Information Technology
AVGO,Information Technology
BR,Information Technology
CA,Information Technology
CDNS,Information Technology
CSCO,Information Technology
CTXS,Information Technology
CTSH,Information Technology
GLW,Information Technology
DXC,Information Technology
EBAY,Information Technology
EA,Information Technology
FFIV,Information Technology
FB,Information Technology
FIS,Information Technology
FISV,Information Technology
FLT,Information Technology
FLIR,Information Technology
IT,Information Technology
GPN,Information Technology
HRS,Information Technology
HPE,Information Technology
HPQ,Information Technology
INTC,Information Technology
IBM,Information Technology
INTU,Information Technology
IPGP,Information Technology
JNPR,Information Technology
KLAC,Information Technology
LRCX,Information Technology
MA,Information Technology
MCHP,Information Technology
MU,Information Technology
MSFT,Information Technology
MSI,Information Technology
NTAP,Information Technology
NFLX,Information Technology
NVDA,Information Technology
ORCL,Information Technology
PAYX,Information Technology
PYPL,Information Technology
QRVO,Information Technology
QCOM,Information Technology
RHT,Information Technology
CRM,Information Technology
STX,Information Technology
SWKS,Information Technology
SYMC,Information Technology
SNPS,Information Technology
TTWO,Information Technology
TEL,Information Technology
TXN,Information Technology
TWTR,Information Technology
TSS,Information Technology
VRSN,Information Technology
V,Information Technology
WDC,Information Technology
WU,Information Technology
XRX,Information Technology
XLNX,Information Technology
